index,functions,pair,candidate_TPL,label
24185,"1. Perform complex and dangerous tricks
2. Outrun sports car near the cross
3. Drive on the opposite lane
4. Earn money for well-executed stunts
5. Buy upgrades, power-ups or new bikes
6. Follow traffic lights and road markings
7. Unlock all treks to access the whole city
8. Become the fastest and craziest traffic rider
9. Drive through city and highway traffic
10. Earn cash and upgrade your vehicle","[""Unity3D"", ""JSON In Java""]","[""Unity3d Advertisement""]",True
15318,"1. Realistic S.W.A.T. battle simulator
2. Modern weapons like assault rifles and sniper guns
3. Deadly bullets effects with head-shot to kill fast
4. High Definition 3D graphics - World War II
5. Missions full of explosive combat action
6. Enjoy realistic gun simulation and animation
7. FPS (First Person Shooter) 3D Game
8. Cool and Excellent real look 3D environment
9. Smooth game control and sound effects
10. Highly powerful weapons
11. Exciting game sound effect
12. Impressive graphics and Multiple Missions","[""Unity3D"", ""Google Mobile Services""]","[""Fmod""]",True
18333,"1. Play as a mighty warrior
2. Fulfill the prophecy and defeat the Lord Evil
3. Use knowledge of Tai Chi and sword fighting
4. Explore the mystical land of China
5. Meet an old friend, the wise Panda
6. Obtain the magical Dragon Sword
7. Face an army of zombie ninjas
8. Navigate through multiple mazes
9. Overcome hurdles and challenges
10. Become a master in warcraft
11. Restore peace and claim back the throne","[""Fmod"", ""OneSignal Android SDK""]","[""Unity3d Advertisement""]",False
43137,"- View Stout Family calendar
- RSVP to Stout Family events
- Access Stout Family documents and resources
- Message other Stout Family members","[""Google Core Libraries (3rd Party)"", ""Apache Http""]","[""Google Core Libraries for Java 6+""]",True
54725,"1. Shoot bubbles to rescue missing Dragon Eggs
2. Match 3 bubbles of the same color
3. Explore cute Worlds and earn Jewels, Jelly, and Balls
4. Colorblind friendly with marked drawings on objects
5. Easy gameplay with guided instructions
6. Over 300 challenging levels to test your skill
7. Unlock Dragons by completing Worlds
8. New Bubbles: Lightning & Cloud
9. Powerful shots: Rainbow & Meteor bubbles
10. Connect with Facebook friends and compare high scores
11. Perfect for commuting, bedtime, or relaxation
12. Available in English, Spanish, Catalan, and Portuguese
13. Free to play","[""Mob Toolkit"", ""Unity3D""]","[""MobileAppTracking Android SDK""]",True
51968,"1. Set off on a journey with Sven and Arny
2. Collect gold
3. Look for crystals
4. Don't miss any gems
5. Explore the depths for wealth
6. Discover what awaits you in the underground
7. Test how deep you can go
8. Encounter various characters along the way","[""Unity3d Advertisement"", ""VerizonMedia Ad Platforms""]","[""Unity3D""]",True
49231,"1. Take live photos with Christmas photo frames
2. Convert frames to unforgettable memories
3. Find suitable frames for all ages
4. Celebrate Xmas with specially designed frames
5. Take photos directly with built-in frames
6. Free and easy-to-use app
7. Select frames and snap beautiful Xmas photos","[""Android BitmapFun"", ""Android Viewpagerindicator Widget""]","[""PDFTron: PDF SDK""]",True
23417,"1. Car parking simulator 3D game
2. Gas station car parking simulator game
3. Drive to the gas station
4. Park accurately at the gas station
5. Avoid hitting other parked vehicles
6. Act as a pro driver
7. Find nearby gas stations
8. Navigate to the petrol pump quickly","[""Google Tag Manager"", ""Amazon In-App Purchasing""]","[""Google Analytics""]",True
48060,"1. Comprehensive overview of Symptoms of Breast Cancer
2. Information on Inflammatory Breast Cancer
3. Importance of Mammograms
4. Breast MRI and Ultrasound information
5. Breast Self-Exams guide
6. How to find a lump in the breast","[""Android BitmapFun"", ""Facebook SDK""]","[""Kxml2""]",True
19920,"1. Drive with highway traffic
2. Amazing 3d graphics
3. Accurate physics controls
4. Realistic racer cars
5. Realistic prado car driving experience
6. Easy to play","[""Unity3D"", ""Android Support v4""]","[""Unity3d Advertisement""]",True
12561,"1. Hundreds of coloring pages to choose from
2. Pick your color and start painting
3. Save and share your artwork with friends
4. Choose from mandalas, animals, and paintings
5. Release stress and feel better with coloring
6. Create your own color combinations
7. Easy controls for painting and zooming
8. Experiment with beautiful palettes and filters
9. Share your creations with family and friends
10. Use glitters, colors, crayons, and patterns
11. Stress-relieving color therapy pages for adults
12. Relaxation exercise for your mind","[""SOOMLA Framework for Game"", ""Google Ads""]","[""Square Otto""]",True
44298,"1. Access event and conference information
2. View social media feeds
3. Get industry trends information
4. Receive breaking news alerts","[""Titanium ImageFactory Module"", ""Android Support v4""]","[""Appcelerator""]",True
43213,"1. Show hot videos uploaded in the last week.
2. Exclude old videos from hot video selection.
3. Ensure videos are not seen by more than 2 people.
4. Provide weekly hot video recommendations.
5. Filter videos based on upload date on YouTube.
6. Prevent repeated video recommendations.
7. Display videos that haven't been watched by the user.
8. Exclude videos that have already been named.","[""Jasonkostempski"", ""ActionBarSherlock""]","[""EPublib""]",True
20265,"1. Self hypnosis
2. Subliminal messaging
3. Positive affirmations
4. Hypnotic voice
5. Relaxing games
6. Isochronic music
7. Color therapy
8. Inspirational quotes
9. Track progress of daily goals
10. Customize features to personal needs
11. Daily goal setting
12. Law of attraction tips
13. Hypnotherapy tips","[""Fmod"", ""Android Support v4""]","[""Unity3D""]",True
