Index,Functions extracted by manual,Functions extracted by ChatGPT,App Description
10978,"1. Correct mental attitude using hypnotherapy.  
2. Recondition mental faculty with audio sessions.  
3. Improve self esteem through therapy.  
4. Boost self confidence with hypnosis.  
5. Enhance motivation via audio sessions.","1. Correct mental attitude using hypnotherapy  
2. Recondition mental faculty for resourcefulness  
3. Improve self-esteem through audio sessions  
4. Enhance self-confidence via hypnotherapy  
5. Provide motivation through regular audio sessions","We must help ourselve so that we can help others. Anybody who does not help themselve is doomed for failure. They are suffering from a mental constipation, lack of resourcefulness with a scarcity mindset.



This App attempt to correct this mental attitude using hynotherapy. The audio session listened on a regular basis can recondition the mental faculty to be resourceful, improve self esteem, self confidence and be fully motivated.



Not everybody will benefit from this therapy. You might not benefit from this therapy. But what if I am wrong. What if this hypnotherapy aid could be the beginning of your new chapter. Why not give it a try? What have you to lose? After all its FREE!!"
11410,"1. Make up your face in photos.
2. Apply different lipstick colors to lips.
3. Makeup your eye bow.
4. Change eyes color in photos.
5. Change hair color in photos.
6. Remove pimples, blemishes, or acne from photos.","1. Apply lipstick with different colors.  
2. Change eye brow appearance.  
3. Change eye color.  
4. Change hair color in photos.  
5. Remove pimples or blemishes from photos.","Makeup Camera application has most advanced tools to make up your face in photos and turn them into awesome faces.
Makeup Camera has different advanced makeup tools:
1. Lipstick: different lip stick colors allows you to make up your lips in case you forgot to apply lipstick before taking photos.
2. Eye brow changer - allows you to make up your eye bow.
3. Eyes changer - allows your to change your eyes color
4. Hair changer - change hair color in your photos. Many hair colors including blonde hair, brunette hair and other colors can be applied.
5. Pimple remover - remove pimples, blemishes or remove acne from photos using pimple remover tool."
11581,"1. Arcade style block breaker  
2. Defend a race of peaceful lifeforms  
3. Protect planet from multiple waves of asteroids  
4. Utilize strategic mastery  
5. Engage in twitch arcade wizardry  
6. Lead defense of the planet","1. Defend a planet from asteroid waves.  
2. Utilize strategic mastery in gameplay.  
3. Engage in twitch arcade-style gameplay.  
4. Protect peaceful lifeforms and their planet.","A fast paced arcade game with strategic evolution elements
PlaceHolder Productions is excited to bring you Cube Commander, an arcade style block breaker which tasks you with the protection of a race of peaceful lifeforms and planet. The Cube Commander defends the planet from multiple waves of asteroids which threaten to destroy the peaceful citizens and their planet. Utilizing strategic mastery and engaging twitch arcade wizardry lead in the defense of the planet and its denizens for as long as you can.
What's New in the Latest Version 3.9
Last updated on Nov 7, 2015
Cube Commander 1.1 - Small Bug Fix affecting Androuind 3.0 devices posting scores"
11596,"1. Search by product specifications  
2. Search by category  
3. See an exact match or closest fit  
4. Link into detailed product datasheets  
5. Share product information via email  
6. Create a Bill of Materials  
7. Email Bill of Materials to yourself  
8. Submit an RFQ/Quotation Request","1. Search by product specifications  
2. Search by category  
3. See exact match or closest fit  
4. Link into detailed product datasheets  
5. Share product information via email  
6. Create a Bill of Materials  
7. Email Bill of Materials to yourself  
8. Submit an RFQ/Quotation Request","Quickly find and select power Semiconductors from Fairchild Semi’s range of over 5000 standard products.

Targeted at distributors, field installers, reps, architects etc, the Fairchild Product Selector app provides quick and comprehensive to the full range of products on your iPhone or iPad.

The app allows you to

Search by product specifications
Search by category
Always see an exact match or the closest fit.
Link into detailed product datasheets
Share product information via email.
Create a Bill of Materials.
Email Bill of Materials to yourself
Submit an RFQ/Quotation Request"
12489,"1. Check out Campus News  
2. View Events calendar  
3. Use Campus Map  
4. Grab a photo from Pics section  
5. Set Phone Wallpaper  
6. Find latest Upper School sports news  
7. Find latest Middle School sports news  
8. Watch Hutchison YouTube videos  
9. Look through photos and Pinterest  
10. Stay up to date with Twitter  
11. View Alumnae news  
12. View Alumnae links  
13. View upcoming Alumnae events","1. Check Campus News and Events calendar.
2. Use Campus Map for navigation.
3. Set photos as phone wallpaper.
4. Find sports news for Upper and Middle School.
5. Watch Hutchison YouTube videos.
6. View photos and browse Pinterest.
7. Stay updated with Twitter news and links.
8. View Alumnae news, links, and events.","The Official App of Hutchison School 

Keeping in touch with Hutchison School is now easier and more enjoyable than ever before.
 
With this app, you can check out Campus News and the Events calendar to find out what's happening at Hutchison.
 
Use the Campus Map to find your way around and grab a photo from the Pics section to set as your Phone Wallpaper.
 
Everything you want to know about Hutchison School is now at your fingertips.

- Athletics - Find out the latest Upper School and Middle School sports news.
- Multimedia - Watch Hutchison YouTube videos and look through photos and Pinterest.
- Twitter - Stay up to date with news and links.
- Alumnae - View news, links, and upcoming events.
- And much more!

A Hutchison Girl can go anywhere she can imagine."
12787,"1. Access to station content for mobile users  
2. 250 meter radar with highest resolution  
3. Future radar to see severe weather direction  
4. High resolution satellite cloud imagery  
5. Current weather updated multiple times per hour  
6. Daily and hourly forecasts updated hourly  
7. Add and save favorite locations  
8. Fully integrated GPS for location awareness  
9. Severe weather alerts from the National Weather Service  
10. Opt-in push alerts for severe weather safety","1. Access station content for mobile users
2. View 250 meter radar with highest resolution
3. Use future radar to track severe weather
4. Display high resolution satellite cloud imagery
5. Get current weather updates multiple times per hour
6. Access daily and hourly forecasts updated hourly
7. Add and save favorite locations
8. Use fully integrated GPS for current location awareness
9. Receive severe weather alerts from National Weather Service
10. Opt-in for push alerts during severe weather","The WLBT Mobile Weather App includes:

   * Access to station content specifically for our mobile users
   * 250 meter radar, the highest resolution available
   * Future radar to see where severe weather is headed
   * High resolution satellite cloud imagery
   * Current weather updated multiple times per hour
   * Daily and Hourly forecasts updated hourly from our computer models
   * Ability to add and save your favorite locations
   * A fully integrated GPS for current location awareness
   * Severe weather alerts from the National Weather Service
   * Opt-in push alerts to keep you safe in severe weather"
12914,"1. Fight through intense combat to retake strongholds.  
2. Create and command your own zombie army.  
3. Engage in multiplayer PvP with other Mercs.  
4. Upgrade arsenal of devices to protect your base.  
5. Use a wide variety of guns for combat.  
6. Assemble ultimate firearms from randomly dropped pieces.","1. Fight through intense combat to retake strongholds.  
2. Create and command an army of zombies.  
3. Engage in multiplayer PvP battles.  
4. Select and upgrade devices to protect bases.  
5. Use a vast arsenal of guns to fight zombies.  
6. Assemble the ultimate firearm from dropped pieces.","A zombie apocalypse has been unleashed upon the earth. Led by General Koch and his mutating zombie army, humans are on the fast train to extinction. This is the end for humans...or is it?
The UN has sanctioned elite Merc units, the Zombie Corps, to stop the undead hordes and take back the planet for humanity.
Game Features
•Massive Story - Fight through hours of intense combat to retake international strongholds from the zombies.
•Zombie Army - Play god and give birth to your own army of Zombies to do your bidding, Hey, it's all fair in love and war right?
•Multiplayer Mayhem - Sure your outfit can pulverize Zeds in outrageous fashion, but can you beat your fellow Mercs in friendly (but deadly) PvP?
•Diabolical Devices - select and upgrade an arsenal of devices to protect your base from zed hordes.
•Welcome to the Gun Show! With more guns to use beyond the human imagination, shredding through zombie flesh never gets old.
•Did we mention guns!? Gather randomly dropped pieces to assemble the ultimate firearm and earn some real style points."
13005,"1. Spot 5 differences point to win each level.  
2. Compare and spot what is the difference area in the picture.  
3. Play without a time limit.  
4. Lose HP if tap on wrong point.  
5. Lose when HP equals 0.  
6. Play with family.","1. Spot differences in pictures to win levels.  
2. Compare images to find different areas.  
3. Play without time limits.  
4. Lose HP for incorrect taps.  
5. Play collaboratively with family.","Spot 5 differences point to win each level. Let's see how many levels you can reach.

This is a good classic Find Difference game. All you need to do is compare and spot what is the difference area in the picture. You have no time limit. Be careful, if you tap on wrong point you will lose HP and when HP = 0, you will lose.

I am sure that everyone, young man or old man can play this game. You can play this game togather with your family.

Download it and have a good time."
13027,"1. Find 5 difference in pictures.  
2. Play game with family.  
3. Have great time together.  
4. Complete 50 levels in game.  
5. Download 200 additional free levels.","1. Find differences between two pictures.  
2. Play with family members.  
3. Download additional levels.","Wow amazing game is here waiting for you to download. Simple rule, there are 2 pictures, just find 5 difference.

You can call all of your family and play this game together. You can have a great time with your son or your grandma while playing this game, everybody knows how to play this classic game. Someone told me that ""FAMILY"" come from ""Father and mother I love you"", Find Differences Game make it happen.

Happy new year!!! Welcome to 2016, a year of happiness. Whis you have a good time. :D

50 levels in game
+
200 levels free download !!!

is ready for download, join now, best find difference game ever."
13087,"1. Live streaming  
2. Sermon archives  
3. Calendar/events  
4. Follow HBWT on social media  
5. Online giving  
6. Church Info","1. Live streaming  
2. Sermon archives  
3. Calendar/events  
4. Follow HBWT on social media  
5. Online giving  
6. Church Info","HBWT is a multi-site church in Missouri in the St. Louis and O’Fallon areas. Our mission is to carry out the Great Commission, which the Lord commands and guide people of all backgrounds into a personal relationship with Jesus Christ. When you download the free HBWT App you will have the following features:
- Live streaming
- Sermon archives
- Calendar/events
- Follow HBWT on social media
- Online giving
- Church Info
Download the app to have everything you need to keep up to date with church life at Have Bible Will Travel.
For more information about HBWT, please visit: www.hbwt.org"
